securities_trader_id,securities_trader,date,address,phone
103C,土銀-白河,2002-07-16,台南市白河區三民路三九五號三樓,06-6852888
103F,土銀-南港,2010-09-27,台北市南港區南港路1段364號5樓,02-26539955
1040,臺銀證券,2008-01-02,台北市重慶南路1段58號4樓、5樓部分,02-23882188
1041,臺銀-鳳山,2008-01-02,鳳山市曹公路20號3樓,07-7452126
1042,臺銀-臺南,2008-01-02,臺南市中正路240號4樓,06-2202507
1043,臺銀-民權,2008-01-02,臺北市承德路2段239號3樓,02-25529458
1045,臺銀-新竹,2012-03-05,新竹市林森路29號5樓,03-5266799
104A,臺銀-臺中,2008-01-02,台中市民權路95號3樓,04-22238370
104C,臺銀-高雄,2008-01-02,高雄市苓雅區成功一路261號3樓,07-2711434
104D,臺銀-金山,2008-01-02,台北市金山南路2段189號3樓,02-23418678
1110,台灣企銀,1976-07-01,台北市塔城街30號4樓,02-25597171
1111,台灣企銀-台中,1976-07-01,台中市臺灣大道1段400號二、三樓,04-2270160
1112,台灣企銀-台南,1994-11-01,台南市中正路一八五號四樓,06-2238967
1113,台灣企銀-九如,1977-10-01,高雄市三民區九如二路255號3樓,07-3137171
1114,台灣企銀-嘉義,1976-07-01,嘉義市光華路132號,05-2278043
1115,台灣企銀-太平,1996-07-03,台中市太平區中興里二鄰中興東路二十七號,04-22757802
1116,台灣企銀-屏東,1976-07-01,屏東市漢口街七號,08-7327171
1117,台灣企銀-竹北,1996-08-03,新竹縣竹北市斗崙里縣政九路一二八號三樓,03-5527171
1118,台灣企銀-豐原,1996-07-31,台中市豐原區源豐路1號4樓,04-25253485
1119,台灣企銀-岡山,1996-07-16,高雄市岡山區岡山路412號4樓,07-6227171
111A,台灣企銀-民雄,1997-08-07,嘉義縣民雄鄉建國路三段八十三號三樓,05-2207171
111B,台灣企銀-建成,1998-10-26,台北市南京西路七十六號二樓,02-25506998
111C,台灣企銀-三民,1998-08-18,高雄市六合二路1號2樓,07-2877171
111E,臺灣企銀-桃園,2002-08-22,桃園市中華路99號3樓,03-3311007
111F,台灣企銀-北高雄,2002-08-08,高雄市復興一路九十號三樓,07-2360116
111G,臺灣企銀-埔墘,2008-07-04,新北市板橋區文化路1段51號2樓,02-89515671
1230,彰銀,1974-04-13,台北市衡陽路68號3樓,02-23619654
1232,彰銀-七賢,1993-07-17,高雄市忠孝一路456號3樓,07-2355658
1233,彰銀-台中,1998-04-23,台中市南區復興路二段七十八號三樓,04-22660011
1260,宏遠,1962-02-09,台北市信義路4段236號4樓部分、5樓部分、7樓部分及台北市信義路五段7號46樓之1部分,02-27008899
1261,宏遠-民生,1992-04-08,台北市松山區南京東路五段1號4樓,02-27657933
1262,宏遠-桃園,1995-12-16,桃園市中正路1125號3樓,03-3463456
126D,宏遠-台南,1997-08-13,台南市中西區忠義路2段69號3樓及5樓之2,06-2236677
126H,宏遠-中和,1998-08-01,新北市中和區民樂路23號1樓及地下1樓,02-32346738
126i,宏遠-光隆,2021-02-17,花蓮縣花蓮市公園路26號4-6樓,03-8352181
126L,宏遠-台中,1998-10-20,台中市文心路1段521號7樓之6,04-2255-6687
126Q,宏遠-高雄,2010-02-01,高雄市中正二路175號4樓,07-2299788
126U,宏遠-館前,2000-05-02,臺北市中正區博愛路76號5樓,02-23121122
126X,宏遠-新化,2006-07-24,臺南市新化區中山路243號之1二樓及三樓,06-5801000
1360,港商麥格理,1996-03-25,台北市復興南路1段2號5樓及5樓之1,02-27347500
1380,台灣匯立,2013-07-16,臺北市敦化南路二段95號27樓,02-2326-8188
1440,美林,2008-09-01,台北市信義路五段7號48樓部分及48樓之1部分,02-23763766
1470,台灣摩根士丹利,2006-10-02,臺北市信義區信義路5段7號83樓,02-27302888
1480,美商高盛,2000-07-17,台北市敦化南路2段207號11樓,02-27304000
1520,瑞士信貸,1998-10-26,台北市民生東路3段109號5樓,02-27156388
1560,港商野村,2005-04-01,台北市松智路1號17樓部分,02-21769999
1570,港商法國興業,2003-09-23,台北市忠孝東路5段68號38樓部分,02-21750800
1590,花旗環球,2007-08-06,台北市信義區松智路１號14樓(部分)、15樓(部分),8726-9000
1650,新加坡商瑞銀,2006-04-03,台北市松仁路7號5樓部分,02-87227200
2180,亞東,1979-06-21,台北市中正區重慶南路一段86號2樓,02-77531899
2181,亞東-板橋,1994-05-23,台北縣板橋市南雅南路二段一七０號一樓,02-89665558
2184,亞東-新竹,1998-03-17,新竹市光復路1段472號2樓,03-5641818
2185,亞東-台南,1998-11-25,台南市林森路1段395號4樓,06-2358999
2186,亞東-高雄,2000-06-09,高雄市前鎮區三多三路217號9樓,07-5369888
2187,亞東-台中,2000-03-30,台中市自由路2段131號2~3樓,04-22218600
218A,亞東-國際證券,2015-06-02,新北市板橋區新站路16號14樓(部分),77531899
2200,元大期貨,2010-07-02,台北市中山區南京東路2段77號4樓,02-27176000
2210,群益期貨,2015-09-01,台北市大安區敦化南路2段97號32樓及地下1樓,02-2700-2888
5050,大展,1988-08-11,台北市承德路1段17號17樓、17樓之1、之2、之3,02-25551234
5058,大展-台南,2019-07-16,台南市西門路三段159號3樓(部份),06-2208866
5110,富隆,1988-08-29,台北市南京東路3段287號3樓部份,02-27182788
5260,美好,1988-09-06,台北市民生東路2段174、176號3樓部份、4樓、174號12樓,02-25084888
5261,美好-蘆洲,1993-09-27,新北市蘆洲區中山一路161號地下一樓,02-22897766
5262,美好-楊梅,1995-11-08,桃園市楊梅區新成路208號1樓,03-4759977
5263,美好-泰山,1997-02-12,"新北市泰山區明志路1段205號5樓之1,之2",02-22966688
5264,美好-高雄,1997-04-17,高雄市中華四路159號4樓之1,07-3312288
5265,美好-苗栗,1994-10-03,苗栗縣苗栗市建民街60號4樓,037-262888
5266,美好-中壢,1994-10-03,桃園市平鎮區環南路18號地下1層之1之3之4,03-4912588
5267,美好-基隆,1997-05-23,基隆市義一路18號5樓,02-24281122
5268,美好-台南,1997-10-07,臺南市成功路518號3樓之1、之2,06-2232233
5269,美好-台中,1997-11-20,台中市崇德路2段130號地下1樓,04-22375888
526A,美好-中和,1999-01-15,新北市中和區景新街338號3樓,02-89411188
526K,美好-富順,2011-12-26,新北市三重區自強路一段73號3樓,02-29818889
526M,美好-市政,2023-09-28,臺中市西屯區市政北七路98號32樓之1、2,04-23745008
5320,高橋,1988-09-23,桃園市中壢區中和路92.94.96.98號,03-4224243
5321,高橋-龍潭,1996-04-25,"桃園市龍潭區中正里龍華路130,132號1,2,3F(營業廳於130及132號1F",03-4807889
5322,高橋-中壢,1997-11-21,桃園市中壢區中山路二二八巷十八號一至五樓，二十號一至四樓,03-4270889
5323,高橋-內壢,1998-03-07,"桃園市中壢區忠孝路159,161號1,2樓163號2樓(營業廳于159,161號1F",03-4351010
5380,第一金,1988-10-06,台北市中山區長安東路一段22號4樓部分及5樓部分,02-25636262
5381,第一金-員林,1997-12-08,彰化縣員林鎮大同路1段338號7樓,04-8339000
5382,第一金-台中,1997-12-20,台中市西區向上路1段110號1樓,04-23103648
5383,第一金-高雄,1998-03-03,高雄市苓雅區中正一路120號2樓,07-7262378
5384,第一金-台南,1998-12-09,台南市大同路1段98號2樓(部份),06-2148111
5385,第一金-桃園,1999-03-16,桃園市桃園區民族路55號3樓,03-3382881
5386,第一金-彰化,2002-08-08,彰化縣彰化市和平路48號3樓部份,04-7203198
5387,第一金-澎湖,2002-12-27,澎湖縣馬公市光復路88號3樓,06-9278666
5389,第一金-中山,2003-07-22,台北市中山區中山北路2段61號4樓部份,02-25671189
538a,第一金-國際證券,2014-11-11,臺北市中山區長安東路一段22號2樓部分及4樓,02-2563-6262
538A,第一金-新興,2003-12-01,高雄市中正四路17號3樓,07-2516101
538B,第一金-新竹,2003-12-01,新竹市英明街3號3樓,03-5235211
538C,第一金-光復,2003-12-01,台北市光復北路16號2樓,02-25795811
538D,第一金-忠孝,2003-12-01,台北市忠孝東路2段88號3樓,02-23214955
538E,第一金-自由,2003-12-01,台中市自由路1段144號7樓,04-22287111
538F,第一金-大稻埕,2003-12-01,台北市迪化街1段63號3樓部份,02-25582211
538I,第一金-頭份,2003-12-01,苗栗縣頭份市中正路67號2樓,037-596611
538j,第一金-安和,2004-05-17,台北市安和路一段27號6樓部份,02-2741-3434
538M,第一金-嘉義,2004-08-10,嘉義市中山路307號3樓,05-2283636
538N,第一金-豐原,2003-12-01,台中市豐原區中山路423號3樓,04-25239911
538P,第一金-路竹,2003-12-01,高雄市路竹區中山路1187號2樓,07-6970111
538W,第一金-華江,2009-11-18,新北市板橋區文化路1段329號2樓之1及2樓部分,02-2258-3311
538Y,第一金-中壢,2003-12-01,桃園市中壢區中央西路2段30號2樓,03-4922011
5460,寶盛,1988-11-02,台中市北屯區北興街43號1樓、2樓,04-22309377
5600,永興,1988-12-01,台北市南海路20號2樓部分、3樓部分,02-23218200
5602,永興-水湳,1995-08-26,台中市北屯區中清路二段578號一樓、二樓,04-22973456
5603,永興-台中,1993-07-02,台中市三民路3段265號之1 一、二樓及265號3樓之8,04-22371188
5604,永興-大墩,1997-02-14,台中市南屯區大墩路754、756號1、2樓,04-23105858
5660,日進,1988-12-13,苗栗縣苗栗市中正路426號4F,037-332266
5850,統一,1989-04-03,台北市東興路8號1樓、2樓部分、3樓部分、5樓部分,02-27478266
5851,統一-高雄,1991-09-30,高雄市中正三路55號5樓,07-2268999
5852,統一-敦南,1991-09-30,台北市敦化南路2段65號21樓,02-27552288
5853,統一-中壢,1991-09-30,"桃園市中壢區中美路51號1,2,3樓及地下室",03-4224888
5854,統一-城中,1991-09-30,台北市博愛路80號2樓、4樓之1、4樓,02-23115757
5855,統一-台南,1991-09-30,台南市中西區中山路88號3樓,06-2112288
5856,統一-台中,1991-09-30,台中市五權西路1段257號3樓,04-23723333
5857,統一-新竹,1991-09-30,新竹市北大路307號2樓,03-5225666
5858,統一-嘉義,1991-09-30,嘉義市林森西路153號3、4樓部份,05-2252111
5859,統一-屏東,1991-09-30,屏東縣屏東市濟南街10-1號,08-7353888
585A,統一-基隆,1993-08-26,基隆市仁愛區仁三路11號2樓,02-24225288
585b,統一-內湖,2004-04-09,臺北市內湖路1段575號3樓,(02)87525959
585B,統一-永和,1994-12-24,新北市永和區福和路389號3樓,02-22319966
585c,統一-仁愛,2004-07-22,台北市安和路1段29號2樓,02-27726588
585D,統一-新台中,1995-07-22,台中市西屯區文心路2段201號8樓之1、2、3、5、6、7、8,04-22587222
585E,統一-新營,1995-11-18,台南市新營區中山路113號4樓,06-6356388
585F,統一-彰化,1993-08-16,彰化縣彰化市華山路37號6樓,04-7225161
585g,統一-平鎮,2015-10-26,桃園市中壢區中正路582號1樓、2樓,03-4910736
585H,統一-桃園,1996-06-25,桃園市桃園區成功路1段32號10樓,03-3386677
585I,統一-員林,2001-06-26,彰化縣員林鎮靜修路12號2樓,04-8336288
585J,統一-三重,1996-09-21,新北市三重區重新路4段12號4樓,02-29779933
585M,統一-士林,1997-01-18,台北市士林區承德路4段83號3樓、3樓之1、3樓之2,02-28866677
585m,統一-竹南,2014-10-13,苗栗縣竹南鎮中正路217號2樓,037-480666
585P,統一-板橋,1997-03-01,新北市板橋區府中路29之2號8樓,02-29692299
585Q,統一-三多,1997-03-22,高雄市苓雅區四維四路7號6樓,07-3368568
585R,統一-汐止,1997-03-21,新北市汐止區中興路160號5樓、5樓之1、5樓之2,02-26935558
585s,統一-國際證券,2014-07-07,台北市東興路8號3樓部份,27478266
585S,統一-宜蘭,2001-10-02,宜蘭縣宜蘭市民族路338號3樓部分,03-9353660
585U,統一-南京,1997-02-11,台北市南京東路3段248號2樓,02-27317777
585W,統一-金門,2000-09-11,金門縣金城鎮民權路160號1樓、2樓、3樓、4樓,082-320811
585Y,統一-土城,2000-08-19,新北市土城區裕民路149號2樓、2樓之1,02-82602000
585Z,統一-松江,2003-11-05,台北市松江路127之1號5樓、6樓,0225165988
5860,盈溢,1989-04-03,高雄市新興區七賢二路38號,07-2888516
5861,盈溢-籬子內,1994-03-26,高雄市前鎮區瑞北路44號1樓,07-7134001
5862,盈溢-楠梓,1997-08-01,高雄市楠梓區楠都東街181號地下室,07-3537737
5920,元富,1989-05-29,台北市復興南路1段209號1、2、3樓,02-23255818
5921,元富-高雄,1991-03-18,高雄市九如二路548號2、3樓,07-3122822
5922,元富-新店,1994-04-20,新北市新店區中興路3段134號地下一樓,02-29177888
5923,元富-三重,1995-09-14,新北市三重區重新路2段21號3樓,02-29885568
5925,元富-台中,1996-03-15,台中市五權西路一段二三七號二樓,04-23759979
5927,元富-林園,1997-01-25,高雄市林園區沿海路3段2號2樓及5樓(部分),07-6433779
5928,元富-新莊,1997-04-12,新北市新莊區新泰路368號1、2樓,02-29962299
5929,元富-台南,1992-12-07,台南市忠義路2段47號3.4.5(營業廳設於3F),06-2219089
592a,元富-松德,2000-07-24,台北市松德路16號地下1樓,02-27202828
592A,元富-緯城,1993-01-11,高雄市博愛一路391號8樓及11樓(營業廳設於8F),07-3131123
592b,元富-板橋,2003-08-11,新北市板橋區中山路一段141號5樓部分,02-89536888
592B,元富-永和,1997-04-18,新北市永和區民有街1號2樓,02-29491888
592C,元富-潮州,1995-11-04,"屏東縣潮州鎮新生路8號1,2樓(營業廳設於1樓) 86.08.04.遷移",08-7884930
592c,元富-烏日,2005-01-03,台中縣烏日鄉三民街179號4樓,04-23362288
592D,元富-大昌,1995-11-04,高雄市三民區九如一路502號地下一層,07-3851168
592E,元富-城中,1997-01-27,台北市承德路一段十七號地下一樓,02-25563636
592f,元富-國際證券,2014-05-20,臺北市敦化南路二段99號19樓,02-23255818
592g,元富-中原,2003-12-12,台中市潭子區中山路2段281號3樓,04-25326677
592G,元富-新竹,1997-10-30,新竹市信義街68號7樓之1、7樓之2,03-5258282
592H,元富-信義,1997-12-16,台北市信義路2段101號2樓,02-23587778
592i,元富-中港,2003-12-03,台中市清水區中山路196號5樓,04-26222299
592I,元富-嘉義,1997-11-03,嘉義市垂楊路316號3樓之1、2；4樓之1、2,05-2257789
592L,元富-中壢,1999-01-08,桃園縣中壢市元化路226號3樓,03-4263888
592l,元富-大裕,2005-01-03,台中市台中路504號,04-22862688
592M,元富-彰化,1999-01-08,彰化市彰美路1段186號6F,04-7283456
592m,元富-成功,2000-07-24,台南市成功路四五七號三樓、四樓,06-2232323
592N,元富-虎尾,2000-01-17,雲林縣虎尾鎮中正路15號三.四樓,05-6360389
592n,元富-西松,2000-07-24,台北市南京東路5段108號3樓,02-27562288
592o,元富-新興,2009-10-05,高雄市新興區七賢一路251號2樓,07-238-5678
592P,元富-同大,1998-07-13,高雄市岡山區岡山路339號3、4樓,07-6225788
592q,元富-屏東,2009-10-05,屏東市中正路一二三號二樓,08-7339522
592Q,元富-敦南,2000-06-27,台北市忠孝東路4段212號3樓、3樓之1,02-87723988
592r,元富-城東,2009-10-05,台北市中山區南京東路2段167號4樓、4樓之1,02-2509-9928
592S,元富-基隆,1999-06-21,基隆市愛四路60號4樓,02-24288899
592u,元富-世貿,2009-10-05,台北市信義區信義路五段8號2樓,02-8780-1800
592U,元富-宜蘭,1999-05-24,宜蘭縣宜蘭市舊城北路23號,03-9369688
592v,元富-桃園,2004-07-01,桃園縣桃園市成功路2段1號2樓,03-3366000
592w,元富-佳里,2000-07-24,台南市佳里區和平街83號4樓、5樓,06-7232323
592W,元富-吉利,2000-07-24,台北市承德路7段348號1樓、地下1樓,02-28229090
592X,元富-草屯,2000-03-06,南投縣草屯鎮和興街92號92之1號1、2樓、94號3樓之1、之2、之3、之4,049-2355888
592Y,元富-埔里,2000-03-06,南投縣埔里鎮南昌街231號2樓,049-2900999
592y,元富-花蓮,2002-09-16,花蓮市民國路167號,038-360988
592Z,元富-安南,2000-07-24,台南市安中路二段三００號八樓,06-2453088
592z,元富-文心,2009-10-05,台中市西屯區文心路2段645號2樓,04-2252-1010
5960,日茂,1989-07-03,南投縣草屯鎮草溪路1020號2、3樓,049-2353266
5961,日茂-埔里,1991-11-16,南投縣埔里鎮西安路一段299號B1.1F.2F.,049-2902266
5962,日茂-南投,1995-12-30,南投縣南投市三和二路11號4、5樓,049-2234188
6010,犇亞證券,1989-07-25,台北市復興北路99號3樓、6樓及6樓之1,02-27180101
6012,犇亞-網路,2007-04-19,台北市松山區復興北路99號4樓之3,02-27188788
601d,犇亞-鑫豐,2019-01-02,台北市松山區復興北路99號4樓之5,2553-8000
6110,台中銀,2013-05-02,台中市民族路45號1、2樓,04-22268588
6114,台中銀-員林,2013-05-02,彰化縣員林鎮中正路462號3樓,04-8329000
6115,台中銀-台北,2013-05-02,台北市中正區忠孝東路一段85號6樓(部分),02-27736955
6116,台中銀-高雄,2013-05-02,高雄市左營區曾子路386號4樓部份,07-3486898
611A,台中銀-豐原,2014-07-21,台中市豐原區中正路220號3-5樓,04-25274150
6160,中國信託,1989-08-19,臺北市南港區經貿二路168號3樓及臺北市南港區經貿二路188號14樓(部分),02-66392000
6161,中國信託-三重,1995-12-01,新北市三重區重陽路一段66號2樓,02-89822558
6162,中國信託-忠孝,1997-07-02,台北市中正區忠孝西路一段6號4樓,02-23141122
6163,中國信託-永康,1999-01-15,台南市永康區中華路425號2樓部分,06-2338233
6164,中國信託-文心,2002-07-01,台中市北屯區文心路四段八七五號三樓部分,04-22468800
6165,中國信託-新竹,2003-06-16,新竹市慈雲路118號10樓之1,03-5153100
6167,中國信託-松江,2012-10-05,台北市中山區松江路220號3樓之1,02-2581-5688
6168,中國信託-嘉義,2013-04-19,嘉義市西區中山路386號6樓,05-2286699
616A,中國信託-中壢,2015-05-08,桃園市中壢區中山路118號3樓、4樓、4樓之1、4樓之2,03-4229666
616K,中國信託-高雄,1997-05-31,高雄市前金區中正四路168號6樓之1,07-2151166
616X,中國信託-國際證券,2015-03-17,台北市南港區經貿二路168號3樓,02-87891075
6210,新百王,1989-08-21,高雄市前金區中華三路11號5樓及地下一樓,07-2118888
6380,光和,1989-09-22,彰化縣北斗鎮光復路166號3、4樓,04-8886500
6381,光和-溪湖,1991-04-10,彰化縣溪湖鎮文東街9號1樓,04-8855466
6382,光和-田中,1994-11-08,彰化縣田中鎮南北街80號3樓,04-8746588
6383,光和-和美,1997-08-08,彰化縣和美鎮彰美路五段二五六號三樓,04-7567789
6385,光和-花壇,1998-09-30,彰化縣花壇鄉花壇村花壇街273號5樓,04-7878288
638A,光和-嘉義,2018-10-01,嘉義縣朴子市山通路37號3.4樓,05-3700988
638D,光和-高雄,2020-02-03,高雄市苓雅區三多二路93號3樓,07-7253922
6450,永全,1989-09-30,桃園市桃園區縣府路82號2至7樓,03-3352155
6451,永全-南崁,1995-06-28,桃園市蘆竹區光明路一段100號3、4樓,03-3529529
6452,永全-八德,1998-08-19,桃園市八德區介壽路一段655號3樓,03-3771155
6460,大昌,1989-09-30,新北市板橋區東門街30之2號2樓之1至85及9樓之1、2,02-29689685
6461,大昌-樹林,1996-12-26,新北市樹林區復興路11號、13號及15號1、2樓,02-26756088
6462,大昌-安康,1997-12-08,新北市新店區安和路一段25之5號及25之6號,02-86669988
6463,大昌-新竹,1999-04-20,新竹市大同路130號3樓及新竹市中山路3號2至4樓,03-5222868
6464,大昌-新店,1994-08-01,新北市新店區北新路2段108號3樓,02-29179111
6465,大昌-桃園,2001-07-27,桃園市桃園區經國路128號2樓,03-3263689
6480,福邦,1989-10-07,台北市中正區忠孝西路一段6號5樓部分,02-23836888
6489,福邦-新竹,2018-06-21,新竹縣竹北市光明五街210號4樓,(03)657-2758
6620,口袋,1989-10-17,新北市板橋區三民路一段216號9樓,02-29526620
6910,德信,1989-11-14,台北市新生南路一段五十號三樓(部分),02-23939988
6912,德信-中正,1994-12-07,臺中市臺灣大道一段728號6樓,04-22026200
6913,德信-新營,1997-07-18,台南市新營區新進路2段109號3樓,06-6337258
6915,德信-和平,2000-06-09,臺北市大安區信義路四段303號6樓,02-27066168
6950,福勝,1989-11-17,新北市淡水區中正路六十三號三、四、五樓,02-26251818
7000,兆豐,1989-11-16,台北市忠孝東路2段95號3樓、4樓、6樓、7樓、8樓及11至13樓,02-23278988
7001,兆豐-嘉義,1994-11-22,嘉義市文化路259號3樓及4樓部分,05-2230230
7003,兆豐-台中,1998-05-25,台中市五權西路一段257號7樓部份,04-23780568
7005,兆豐-台中港,1999-01-12,台中縣沙鹿鎮沙田路107號2樓,04-26651100
7006,兆豐-台南,1998-12-29,台南市忠義路2段14號4、5樓,06-2230398
7007,兆豐-竹北,1999-07-31,新竹縣竹北市三民路18、20、22、24號1樓及18、24號2樓,03-5543223
7008,兆豐-三重,2000-01-07,新北市三重區正義北路195號3樓,02-29817799
7009,兆豐-景美,2000-03-17,台北市文山區景中街1號3樓,02-29307799
700a,兆豐-忠孝,2003-01-31,台北市忠孝東路4段563號3樓、565號4樓,02-27479966
700b,兆豐-中壢,2004-11-03,桃園市中壢區中山路142號8樓、146號8樓,03-2807759
700B,兆豐-板橋,2000-03-30,台北縣板橋市文化路1段268號2樓之1,02-22538699
700C,兆豐-來福,1999-01-25,雲林縣斗六市民生路156號8樓,05-5338989
700c,兆豐-民生,2004-05-12,台北市民生東路3段128號3樓之2,02-27169966
700d,兆豐-彰化,2004-06-30,彰化縣彰化市和平路57號6樓,04-7289966
700D,兆豐-西螺,1999-01-25,雲林縣西螺鎮中山路127號3樓,05-5867999
700F,兆豐-虎尾,1999-01-25,雲林縣虎尾鎮公安路133號4樓,05-6313388
700f,兆豐-鹿港,2003-01-31,彰化縣鹿港鎮彰鹿路8段59號,04-7772900
700g,兆豐-南門,2004-03-09,台北市羅斯福路2段9號2樓(部分),02-23959966
700G,兆豐-麻豆,2000-06-23,台南縣麻豆鎮興中路127號3樓,06-5728388
700h,兆豐-三民,2003-01-30,高雄市鼓山區文信路327號1樓,07-3958858
700H,兆豐-東門,2000-07-07,台北市金山南路2段33號2樓,02-23435488
700I,兆豐-北高雄,2000-09-22,高雄市中正四路235號2樓之1,07-2612345
700i,兆豐-松德,2003-01-31,台北市信義區忠孝東路5段510號3樓、3樓之1、3樓之2、3樓之12及3樓之13,02-27275168
700J,兆豐-公益,2000-10-17,台中市中區民權路216號6樓之1,04-22238866
700j,兆豐-大安,2003-07-04,台北市信義路3段182號3樓、4樓,02-27003236
700k,兆豐-員林,2003-01-30,彰化縣員林鎮中山路1段753號3樓,04-8373898
700K,兆豐-新營,1998-03-17,台南市新營區中營里中山路116號,06-6357111
700L,兆豐-天母,2000-10-09,台北市中山北路6段126號3樓部分,02-28376006
700m,兆豐-國際證券,2014-07-25,臺北市忠孝東路二段95號3樓,02-23278988
700M,兆豐-桃園,2000-11-18,桃園縣桃園市成功路2段2號2樓,033475188
700N,兆豐-埔墘,2001-02-23,新北市板橋區三民路1段216號2樓,02-89538888
700P,兆豐-南京,2003-01-30,台北市南京東路3段65號3樓,02-25169888
700p,兆豐-復興,2003-01-30,台北市復興北路99號8樓之1,02-25148588
700q,兆豐-內湖,2006-10-26,台北市內湖區成功路4段166號5樓,02-27946088
700r,兆豐-寶成,2007-08-10,台中市西屯區臺灣大道4段600號3樓,(04)24651001
700R,兆豐-小港,2003-01-30,高雄市小港區漢民路381號2樓,07-8063000
700S,兆豐-大同,2003-01-31,台北市民生西路286號3樓,02-25506078
700s,兆豐-岡山,2002-07-01,高雄縣岡山鎮中山北路28號3樓(部分),07-6235988
700U,兆豐-桃鶯,2003-01-30,桃園市桃園區桃鶯路343號3、4樓,03-3776899
700V,兆豐-新竹,2003-01-31,新竹市中正路129號3樓,03-5256199
700W,兆豐-城中,2003-03-29,台北市重慶南路1段2號2樓〈部分〉,02-23315199
700w,兆豐-新莊,2004-02-12,新北市新莊區思源路427號2樓,02-89913777
700X,兆豐-永和,2004-05-17,新北市永和區永和路2段121號3樓,02-2927-3799
700Z,兆豐-高雄,2003-01-30,高雄市新光路36號1樓,07-3315200
7030,致和,1989-11-27,台南市西門路3段10號地下1樓、1、2、3、4、5、6、7樓,06-2219777
7031,致和-台北,1995-05-06,台北市信義路4段96號2樓,02-27006666
7032,致和-佳里,1996-06-24,台南市佳里區延平路351號3樓,06-7226666
7033,致和-府前,1996-12-07,台南市府前路1段141號2、3樓,06-2135888
7034,致和-金華,1997-03-01,台南市金華路二段一七二號地下一樓,06-2619777
7035,致和-東門,1997-07-15,台北市信義路二段二一三號二樓,02-23516600
7036,致和-高雄,1997-10-02,高雄市光華一路148之83號1、2樓,07-2259255
7038,致和-南京,1998-09-09,台北市南京東路五段一八八號四樓,02-27485558
703B,致和-崇德,2007-11-12,台南市東區中華東路3段242號2、3樓,06-2899000
7080,石橋,1989-11-30,桃園市平鎮區環南路184號1樓、2樓之1、2樓之2及186巷2號1樓,03-4927373
7750,北城,1990-03-31,新北市永和區永和路2段116號3樓部分,02-29283456
7790,國票,1990-04-10,台北市重慶北路3段199號地下1樓及6樓部分、台北市中山區樂群三路126號3樓部分,02-85021999
7791,國票-台東,1992-06-01,台東縣台東市更生路560號2樓及3樓,089-321789
7792,國票-北投,1994-02-16,台北市北投區北投路2段13號2樓,02-28969268
7795,國票-南港,1997-10-06,台北市南港區興中路12巷25號地下1樓,02-26535757
7797,國票-中正,1997-10-16,高雄市前金區中正四路213號1樓,07-2166166
7798,國票-內壢,1998-02-07,桃園市中壢區興農路125號3樓,03-4618688
779b,國票-國際證券,2014-09-15,台北市中山區樂群三路126號4樓及132號4樓,(02)25288988
779c,國票-敦北法人,2002-10-21,臺北市松山區南京東路三段346號2樓,02-27760606
779D,國票-台南,1997-08-16,臺南市成功路114號5樓,06-2203979
779E,國票-南崁,1998-05-26,桃園市蘆竹區中正路二九五號三樓之一及三樓之二,03-3115688
